nm	n	k				
1260	1.963675	2.56E-4				
1262.5	1.963626	2.56E-4				
1265	1.963577	2.56E-4				
1267.5	1.963529	2.55E-4				
1270	1.963481	2.55E-4				
1272.5	1.963433	2.55E-4				
1275	1.963385	2.55E-4				
1277.5	1.963337	2.54E-4				
1280	1.96329	2.54E-4				
1282.5	1.963243	2.54E-4				
1285	1.963196	2.54E-4				
1287.5	1.963149	2.53E-4				
1290	1.963102	2.53E-4				
1292.5	1.963055	2.53E-4				
1295	1.963009	2.53E-4				
1297.5	1.962963	2.53E-4				
1300	1.962917	2.52E-4				
1302.5	1.962871	2.52E-4				
1305	1.962826	2.52E-4				
1307.5	1.96278	2.52E-4				
1310	1.962735	2.51E-4				
1312.5	1.96269	2.51E-4				
1315	1.962645	2.51E-4				
1317.5	1.9626	2.51E-4				
1320	1.962556	2.51E-4				
1322.5	1.962511	2.5E-4				
1325	1.962467	2.5E-4				
1327.5	1.962423	2.5E-4				
1330	1.962379	2.5E-4				
1332.5	1.962335	2.5E-4				
1335	1.962291	2.49E-4				
1337.5	1.962248	2.49E-4				
1340	1.962204	2.49E-4				
1342.5	1.962161	2.49E-4				
1345	1.962118	2.49E-4				
1347.5	1.962075	2.48E-4				
1350	1.962032	2.48E-4				
1352.5	1.96199	2.48E-4				
1355	1.961947	2.48E-4				
1357.5	1.961905	2.48E-4				
1360	1.961863	2.47E-4				
1362.5	1.961821	2.47E-4				
1365	1.961779	2.47E-4				
1367.5	1.961737	2.47E-4				
1370	1.961696	2.47E-4				
1372.5	1.961654	2.47E-4				
1375	1.961613	2.46E-4				
1377.5	1.961572	2.46E-4				
1380	1.961531	2.46E-4				
1382.5	1.96149	2.46E-4				
1385	1.961449	2.46E-4				
1387.5	1.961408	2.46E-4				
1390	1.961368	2.45E-4				
1392.5	1.961327	2.45E-4				
1395	1.961287	2.45E-4				
1397.5	1.961247	2.45E-4				
1400	1.961207	2.45E-4				
1402.5	1.961167	2.45E-4				
1405	1.961127	2.44E-4				
1407.5	1.961087	2.44E-4				
1410	1.961048	2.44E-4				
1412.5	1.961009	2.44E-4				
1415	1.960969	2.44E-4				
1417.5	1.96093	2.44E-4				
